registerNum,country1,durationDays,peopleDead,peopleDisplaced,mainCause1,severity,affectedSqKm,magnitude,centroidX,centroidY,region,sub_region,year,HDI,lifeExp,yearsSchool,GNIPerCapita
868,Philippines,12,2,18000,Monsoon,large,25394.77,5.48392553,122.982,10.017,Asia,South-Eastern Asia,1994,0.668,68.2,11.3,7915
867,China,22,128,2000000,Heavy Rain,extreme,1066165.02,7.671277106,125.126,46.1544,Asia,Eastern Asia,1994,0.727,75.8,13.1,12547
866,China,6,10,2000,Heavy Rain,extreme,2987.02,4.554419377,114.116,22.4405,Asia,Eastern Asia,1994,0.727,75.8,13.1,12547
865,Vietnam,17,21,172,Heavy Rain,extreme,17601.27,5.777022922,102.98,21.8175,Asia,South-Eastern Asia,1994,0.666,75.8,11.9,5092
864,Philippines,6,8,114674,Hurricane/Tropical Storm,large,12359.24,4.870143016,120.621,15.1291,Asia,South-Eastern Asia,1994,0.668,68.2,11.3,7915
863,Pakistan,68,333,30000,Monsoon,large,343251.55,7.36812142,71.1034,28.9156,Asia,Southern Asia,1994,0.538,66.2,7.8,4866
862,China,8,41,0,Heavy Rain,large,183806.7,6.167451325,112.268,31.1973,Asia,Eastern Asia,1994,0.727,75.8,13.1,12547
861,Philippines,7,0,0,Hurricane/Tropical Storm,large,37086.97,5.414319393,121.046,16.7179,Asia,South-Eastern Asia,1994,0.668,68.2,11.3,7915
984,South Korea,4,53,16000,Hurricane/Tropical Storm,large,33972.01,5.133181235,127.674,37.0506,Asia,Eastern Asia,1995,0.898,81.9,16.9,"33,890"
859,Pakistan,5,12,0,Heavy Rain,large,21185.79,5.025014667,67.2212,30.3321,Asia,Southern Asia,1994,0.538,66.2,7.8,4866
858,India,10,60,0,Monsoon,large,52338.52,5.718821438,77.252,31.7869,Asia,Southern Asia,1994,0.609,68,11.7,5497
891,South Korea,5,5,2000,Heavy Rain,large,22406.24,5.049338988,127.335,37.0999,Asia,Eastern Asia,1994,0.898,81.9,16.9,"33,890"
856,United States,15,32,20000,Hurricane/Tropical Storm,large,167722.97,6.400683803,-84.3318,31.07,Americas,Northern America,1994,0.915,79.1,16.5,52947
855,India,24,617,800000,Monsoon,large,1981837.41,7.677279264,76.6191,20.6258,Asia,Southern Asia,1994,0.609,68,11.7,5497
854,South Africa,5,2,3000,Heavy Rain,extreme,11393.12,5.056642672,18.8851,-33.9535,Africa,Southern Africa,1994,0.666,57.4,13.6,12122
853,United States,6,2,0,Heavy Rain,large,13311.18,4.902367807,-83.6886,37.0272,Americas,Northern America,1994,0.915,79.1,16.5,52947
852,Bangladesh,9,1,0,Monsoon,large,6360.08,4.757705088,92.071,21.8758,Asia,Southern Asia,1994,0.57,71.6,10,3191
851,China,21,719,0,Heavy Rain,extreme,1015419.65,7.629894854,113.189,25.7177,Asia,Eastern Asia,1994,0.727,75.8,13.1,12547
850,Colombia,5,2,240,Landslides/Avalanches,large,27784.17,5.142767432,-76.8547,2.1264,Americas,South America,1994,0.72,74,13.5,12040
849,Bangladesh,6,6,11000,Monsoon,large,11309.84,4.831607711,91.803,24.6457,Asia,Southern Asia,1994,0.57,71.6,10,3191
848,Armenia,2,5,400,Dam Failure,large,3590.36,3.856167992,44.0001,40.7485,Asia,Western Asia,1994,0.733,74.7,12.3,8124
771,South Korea,4,12,3000,Heavy Rain,large,11570.2,4.665400857,128.072,35.1448,Asia,Eastern Asia,1993,0.898,81.9,16.9,"33,890"
846,Sri Lanka,4,7,0,Monsoon,large,3394.93,4.132890815,80.3366,6.61343,Asia,Southern Asia,1994,0.757,74.9,13.7,9779
845,China,9,70,2000,Heavy Rain,extreme,121675.06,6.340474074,118.128,25.9398,Asia,Eastern Asia,1994,0.727,75.8,13.1,12547
844,China,3,95,0,Heavy Rain,large,165721.86,5.696501054,116.038,27.2874,Asia,Eastern Asia,1994,0.727,75.8,13.1,12547
843,Uganda,3,11,0,Heavy Rain,large,9570.23,4.45804363,30.1332,0.277229,Africa,Eastern Africa,1994,0.483,58.5,9.8,1613
842,Bangladesh,5,20,12000,Hurricane/Tropical Storm,large,22176.39,5.044860855,92.0895,22.5171,Asia,Southern Asia,1994,0.57,71.6,10,3191
841,United States,10,6,4000,Heavy Rain,large,644301.28,6.809088994,-97.9613,36.8932,Americas,Northern America,1994,0.915,79.1,16.5,52947
546,South Korea,5,54,3600,Heavy Rain,large,21908,5.039572737,127.561,37.1727,Asia,Eastern Asia,1991,0.898,81.9,16.9,"33,890"
839,Bangladesh,5,16,100000,Heavy Rain,large,2275.44,4.056035393,89.816,23.9528,Asia,Southern Asia,1994,0.57,71.6,10,3191
838,Philippines,14,9,16821,Heavy Rain,large,36858.21,5.712662276,125.689,8.3822,Asia,South-Eastern Asia,1994,0.668,68.2,11.3,7915
837,Jordan,3,9,300,Heavy Rain,large,3809.42,4.057980112,35.9181,32.4176,Asia,Western Asia,1994,0.748,74,13.5,11365
836,United States,5,35,0,Heavy Rain,large,179822.05,5.953812949,-85.308,33.0034,Americas,Northern America,1994,0.915,79.1,16.5,52947
835,Indonesia,4,12,83125,Heavy Rain,large,36275.49,5.161673279,111.684,-7.50232,Asia,South-Eastern Asia,1994,0.684,68.9,13,9788
515,South Korea,3,0,0,Heavy Rain,large,15994.5,4.681091923,127.408,36.5907,Asia,Eastern Asia,1991,0.898,81.9,16.9,"33,890"
833,Indonesia,5,5,50000,Heavy Rain,large,1822.72,3.959689963,118.798,-8.48433,Asia,South-Eastern Asia,1994,0.684,68.9,13,9788
458,South Korea,4,114,160000,Heavy Rain,extreme,10436.15,4.9216303,127.143,37.5841,Asia,Eastern Asia,1990,0.898,81.9,16.9,"33,890"
831,Peru,8,17,120000,Heavy Rain,extreme,27660.41,5.645978596,-76.0086,-12.0008,Americas,South America,1994,0.734,74.6,13.1,11015
830,Bangladesh,5,13,0,Heavy Rain,large,6727.37,4.526815319,92.0345,22.4749,Asia,Southern Asia,1994,0.57,71.6,10,3191
829,Indonesia,4,5,0,Heavy Rain,large,19421.63,4.890345667,99.033,3.12557,Asia,South-Eastern Asia,1994,0.684,68.9,13,9788
828,Peru,21,63,12000,Heavy Rain,large,609261.38,7.107022945,-77.0482,-8.13028,Americas,South America,1994,0.734,74.6,13.1,11015
827,Madagascar,17,200,50000,Hurricane/Tropical Storm,large,142993.47,6.385765127,47.7167,-18.8541,Africa,Eastern Africa,1994,0.51,65.1,10.3,1328
826,Colombia,3,16,60000,Heavy Rain,large,4298.62,4.11045031,-76.2,3.52764,Americas,South America,1994,0.72,74,13.5,12040
825,Indonesia,4,2,0,Heavy Rain,large,59036.58,5.373181182,110.662,-7.37598,Asia,South-Eastern Asia,1994,0.684,68.9,13,9788
824,Papua New Guinea,5,9,0,Hurricane/Tropical Storm,large,65497.93,5.515197579,148.53,-9.05287,Oceania,Melanesia,1994,0.505,62.6,9.9,2463
823,Australia,5,13,0,Hurricane/Tropical Storm,large,120854.33,5.781232219,151.685,-25.2628,Oceania,Australia and New Zealand,1994,0.935,82.4,20.2,42261
822,Indonesia,11,10,50700,Heavy Rain,large,10207.65,5.050318456,107.657,-6.83998,Asia,South-Eastern Asia,1994,0.684,68.9,13,9788
340,South Korea,4,21,40000,Hurricane/Tropical Storm,large,1067.67,3.630497031,128.994,35.2449,Asia,Eastern Asia,1989,0.898,81.9,16.9,"33,890"
820,Philippines,5,29,14000,Hurricane/Tropical Storm,large,44225.95,5.344647175,123.45,13.4358,Asia,South-Eastern Asia,1994,0.668,68.2,11.3,7915
819,United Kingdom,2,0,300,Heavy Rain,large,5379.22,4.031749302,0.83137,51.0549,Europe,Northern Europe,1993,0.907,80.7,16.2,39267
818,Papua New Guinea,2,14,3500,Heavy Rain,large,9588.1,4.282762551,145.32,-6.46321,Oceania,Melanesia,1993,0.505,62.6,9.9,2463
817,Philippines,2,6,12000,Hurricane/Tropical Storm,large,1266.81,3.403741479,125.59,9.65856,Asia,South-Eastern Asia,1993,0.668,68.2,11.3,7915
