registerNum,country1,country2,dateBegan,dateEnded,durationDays,peopleDead,peopleDisplaced,damageUsd,mainCause1,mainCause2,mainCause3,severity,affectedSqKm,magnitude,centroidX,centroidY,region,sub_region,region_code,sub_region_code,year
4221,Greece,Albania,2015-02-01 00:00:00,2015-02-09 00:00:00,9,3,500,,Heavy Rain,,,very large,151104.52,6.309611224,26.5972,41.4571,Europe,Southern Europe,150.0,39.0,2015
4220,Bolivia,,2015-01-05 00:00:00,2015-02-09 00:00:00,36,23,1000,,Heavy Rain,,,very large,137629.71,6.871105955,-63.7661,-16.4638,Americas,South America,19.0,5.0,2015
4219,Malawi,Mozambique,2015-01-01 00:00:00,2015-02-09 00:00:00,40,276,336000,,Heavy Rain,,,extreme,485939.39,7.589672091000001,35.3564,-18.7946,Africa,Eastern Africa,2.0,14.0,2015
4218,Australia,,2015-01-05 00:00:00,2015-01-11 00:00:00,7,1,0,,Heavy Rain,,,very large,1519623.45,7.202925286,127.056,-19.1872,Oceania,Australia and New Zealand,9.0,53.0,2015
4217,Philippines,,2014-12-10 00:00:00,2015-01-01 00:00:00,23,53,80186,,Hurricane/Tropical Storm,,,very large,63967.39,6.343777726,124.90299999999999,8.656080000000001,Asia,South-Eastern Asia,142.0,35.0,2014
4216,Malaysia,Thailand,2014-12-20 00:00:00,2015-01-01 00:00:00,13,34,215000,,Monsoon,,,extreme,90680.38,6.372486679,102.164,4.72508,Asia,South-Eastern Asia,142.0,35.0,2014
4215,Sri Lanka,,2014-12-20 00:00:00,2015-01-01 00:00:00,13,39,1000000,,Monsoon,,,very large,50316.81,5.991747711,80.9834,7.90972,Asia,Southern Asia,142.0,34.0,2014
4214,Colombia,,2014-11-01 00:00:00,2014-12-20 00:00:00,50,44,0,,Heavy Rain,,,very large,406009.51,7.48359747,-75.544,4.59198,Americas,South America,19.0,5.0,2014
4213,United States,,2014-12-11 00:00:00,2014-12-14 00:00:00,4,3,0,,Heavy Rain,,,large,70255.56,5.448740691,-123.101,39.7967,Americas,Northern America,19.0,21.0,2014
4212,Brazil,,2014-12-10 00:00:00,2014-12-14 00:00:00,5,0,0,,Heavy Rain,,,large,199807.2,5.999581138,-49.2145,-24.8513,Americas,South America,19.0,5.0,2014
4211,Bulgaria,Greece,2014-12-04 00:00:00,2014-12-14 00:00:00,11,40,1000,,Heavy Rain,,,very large,147616.57,6.386619054,27.7106,41.4579,Europe,Eastern Europe,150.0,151.0,2014
4210,Palestine,,2014-11-26 00:00:00,2014-12-05 00:00:00,10,0,300,,Heavy Rain,,,very large,2861.66,4.6327092919999995,34.4532,31.3378,,,,,2014
4209,France,,2014-11-29 00:00:00,2014-12-05 00:00:00,7,5,3000,,Heavy Rain,,,very large,123269.25,6.112044052999999,0.8639370000000001,43.998999999999995,Europe,Western Europe,150.0,155.0,2014
4208,United States,,2014-12-01 00:00:00,2014-12-05 00:00:00,5,0,40,,Heavy Rain,,,large,202666.27,6.005751479,-117.212,35.4299,Americas,Northern America,19.0,21.0,2014
4207,Morocco,,2014-11-24 00:00:00,2014-12-05 00:00:00,12,40,0,,Heavy Rain,,,extreme,273693.63,6.817475931000001,-5.61886,31.5566,Africa,Northern Africa,2.0,15.0,2014
4206,Thailand,,2014-11-07 00:00:00,2014-11-16 00:00:00,10,0,1000,,Monsoon,,,large,31653.08,5.500415975,99.5163,8.02409,Asia,South-Eastern Asia,142.0,35.0,2014
4205,Italy,,2014-11-12 00:00:00,2014-11-16 00:00:00,5,5,0,,Heavy Rain,,,very large,36733.48,5.440123337,10.6129,45.9281,Europe,Southern Europe,150.0,39.0,2014
4204,Indonesia,,2014-11-14 00:00:00,2014-11-16 00:00:00,3,0,2400,,Heavy Rain,,,large,57442.62,5.236355495,100.75299999999999,-1.02615,Asia,South-Eastern Asia,142.0,35.0,2014
4203,France,,2014-11-13 00:00:00,2014-11-16 00:00:00,4,5,0,,Heavy Rain,,,very large,36709.07,5.342924632,5.09507,44.2452,Europe,Western Europe,150.0,155.0,2014
4202,Greece,,2014-10-25 00:00:00,2014-10-27 00:00:00,3,0,0,,Heavy Rain,Hurricane/Tropical Storm,,large,4855.4,4.163346269,23.4176,38.1738,Europe,Southern Europe,150.0,39.0,2014
4201,Somalia,Ethiopia,2014-10-24 00:00:00,2014-11-16 00:00:00,24,0,21000,,Heavy Rain,,,very large,42635.81,6.186077019,45.2538,4.13428,Africa,Eastern Africa,2.0,14.0,2014
4200,India,Sri Lanka,2014-10-22 00:00:00,2014-10-27 00:00:00,6,5,300,,Monsoon,,,large,115476.31,5.840644147999999,78.2616,10.2916,Asia,Southern Asia,142.0,34.0,2014
4199,Spain,,2014-10-19 00:00:00,2014-10-22 00:00:00,4,1,0,,Heavy Rain,,,large,7566.97,4.480982003,-16.5329,28.2782,Europe,Southern Europe,150.0,39.0,2014
4198,India,,2014-10-12 00:00:00,2014-10-27 00:00:00,16,42,0,,Hurricane/Tropical Storm,,,very large,376261.49,6.955701013,79.6967,18.4473,Asia,Southern Asia,142.0,34.0,2014
4197,Mexico,,2014-10-18 00:00:00,2014-10-27 00:00:00,10,6,4000,,Hurricane/Tropical Storm,,,very large,187176.03,6.448341491,-98.4317,21.7845,Americas,Central America,19.0,13.0,2014
4196,South Sudan,,2014-10-15 00:00:00,2014-10-27 00:00:00,13,4,140,,Heavy Rain,,,large,388189.52,6.702987159,31.1747,6.6942699999999995,Africa,Eastern Africa,2.0,14.0,2014
4195,United States,,2014-10-21 00:00:00,2014-10-22 00:00:00,2,0,0,,Heavy Rain,,,large,8447.1,4.227737631,-80.4061,26.9326,Americas,Northern America,19.0,21.0,2014
4194,Nicaragua,Honduras,2014-10-15 00:00:00,2014-10-27 00:00:00,13,24,33000,,Heavy Rain,,,very large,221816.02,6.63602752,-87.5693,13.8455,Americas,Central America,19.0,13.0,2014
4193,Nicaragua,,2014-10-09 00:00:00,2014-10-11 00:00:00,3,1,50,,Heavy Rain,,,very large,79061.87,5.551179596,-85.6393,12.6289,Americas,Central America,19.0,13.0,2014
4192,Italy,,2014-10-10 00:00:00,2014-10-11 00:00:00,2,1,0,,Heavy Rain,,,large,6229.19,4.095461573,9.17775,44.6146,Europe,Southern Europe,150.0,39.0,2014
