registerNum,country1,country2,dateBegan,dateEnded,durationDays,peopleDead,peopleDisplaced,damageUsd,mainCause1,mainCause2,mainCause3,severity,affectedSqKm,magnitude,centroidX,centroidY,region,sub_region,region_code,sub_region_code,year,GDPmil,GDPrank,Income Group OECD
4276,Brazil,,7/10/15 0:00,7/21/15 0:00,12,3,1000,,Heavy Rain,,,large,690931.31,6.91861612,-50.751,-25.5689,Americas,South America,19,5,2015,2346076,7,Upper middle income
4275,Guyana,,7/16/15 0:00,7/21/15 0:00,6,0,0,,Heavy Rain,,,very large,30931.23,5.4446397,-58.7431,6.66576,Americas,South America,19,5,2015,3097,163,Lower middle income
4274,United States,,7/18/15 0:00,7/21/15 0:00,4,3,0,,Heavy Rain,,,very large,44261.07,5.424173159,-83.165,38.3887,Americas,Northern America,19,21,2015,17419000,1,High income: OECD
4273,Tajikistan,,7/15/15 0:00,7/21/15 0:00,7,0,10000,,Snow/Ice Melt,,,very large,56196.01,5.77089478,73.1149,38.0626,Asia,Central Asia,142,143,2015,9242,141,Lower middle income
4272,Pakistan,,7/15/15 0:00,8/19/15 0:00,36,166,803000,,Monsoon,,,very large,137039.96,6.869240983,72.2737,34.3432,Asia,Southern Asia,142,34,2015,243632,44,Lower middle income
4271,Cameroon,,6/22/15 0:00,6/29/15 0:00,8,0,3000,,Heavy Rain,,,large,4726.19,4.577601164,9.88421,3.94741,Africa,Middle Africa,2,17,2015,32051,99,Lower middle income
4270,Pakistan,,6/25/15 0:00,6/29/15 0:00,5,10,0,,Heavy Rain,,,very large,73485.14,5.741260789,72.8428,35.0129,Asia,Southern Asia,142,34,2015,243632,44,Lower middle income
4269,Costa Rica,,6/21/15 0:00,6/29/15 0:00,9,0,700,,Heavy Rain,,,very large,16754.38,5.35446213,-83.8331,10.1743,Americas,Central America,19,13,2015,49553,82,Upper middle income
4268,Vietnam,,6/24/15 0:00,6/29/15 0:00,6,7,100,,Hurricane/Tropical Storm,,,very large,6346.62,4.756785005,103.525,21.3114,Asia,South-Eastern Asia,142,35,2015,186205,55,Lower middle income
4267,United States,,6/27/15 0:00,6/29/15 0:00,3,2,0,,Heavy Rain,,,large,161572.75,5.685489372,-84.7486,39.3942,Americas,Northern America,19,21,2015,17419000,1,High income: OECD
4266,Russia,,6/25/15 0:00,6/29/15 0:00,5,1,0,,Heavy Rain,,,very large,5567.64,4.62073241,39.3401,44.1285,Europe,Eastern Europe,150,151,2015,1860598,10,High income: nonOECD
4265,India,,6/24/15 0:00,6/29/15 0:00,6,81,9000,,Monsoon,,,very large,43781.56,5.595533741,70.7643,21.8734,Asia,Southern Asia,142,34,2015,2048517,9,Lower middle income
4264,New Zealand,,6/22/15 0:00,6/29/15 0:00,8,0,100,,Heavy Rain,,,very large,8948.6,5.030936342,175.231,-39.8648,Oceania,Australia and New Zealand,9,53,2015,199970,53,High income: OECD
4263,Bangladesh,,6/24/15 0:00,6/29/15 0:00,6,0,23,,Heavy Rain,,,very large,12508.17,5.051436285,91.9942,22.4079,Asia,Southern Asia,142,34,2015,172887,56,Lower middle income
4262,Nepal,,6/10/15 0:00,6/15/15 0:00,6,40,0,,Monsoon,,,large,12034.28,4.858571362,87.3919,27.4682,Asia,Southern Asia,142,34,2015,19770,109,Low income
4261,Georgia,,6/13/15 0:00,6/15/15 0:00,3,12,200,,Heavy Rain,,,very large,13022.99,4.767923221,44.5362,42.0683,Asia,Western Asia,142,145,2015,16530,117,Lower middle income
4260,Ghana,Togo,6/2/15 0:00,6/15/15 0:00,14,150,5300,,Heavy Rain,,,very large,266950.09,6.748649366,-0.546442,7.38005,Africa,Western Africa,2,11,2015,38617,92,Lower middle income
4259,India,,6/2/15 0:00,6/29/15 0:00,28,3,9000,,Monsoon,,,very large,60437.23,6.404553842,93.8747,26.9195,Asia,Southern Asia,142,34,2015,2048517,9,Lower middle income
4258,Russia,,5/15/15 0:00,6/2/15 0:00,19,0,1200,,Heavy Rain,,,large,242622.13,6.663684012,81.5277,58.1901,Europe,Eastern Europe,150,151,2015,1860598,10,High income: nonOECD
4257,Romania,,5/25/15 0:00,6/2/15 0:00,9,1,184,,Heavy Rain,,,large,19785.35,5.250586247,22.8609,46.8147,Europe,Eastern Europe,150,151,2015,199044,54,Upper middle income
4256,Tajikistan,,5/11/15 0:00,5/21/15 0:00,11,0,1776,,Heavy Rain,,,large,32595.44,5.554549533,73.2634,37.8142,Asia,Central Asia,142,143,2015,9242,141,Lower middle income
4255,Chile,,5/17/15 0:00,5/21/15 0:00,5,0,100,,Heavy Rain,,,very large,224189.77,6.225677055,-72.9212,-44.1033,Americas,South America,19,5,2015,258062,42,High income: OECD
4254,Tanzania,,5/7/15 0:00,5/21/15 0:00,15,12,5000,,Heavy Rain,,,very large,194128.66,6.640272175,36.8905,-5.06017,Africa,Eastern Africa,2,14,2015,48057,86,Low income
4253,New Zealand,,5/13/15 0:00,5/21/15 0:00,9,1,100,,Heavy Rain,,,very large,7484.07,5.004471609,175.355,-41.092,Oceania,Australia and New Zealand,9,53,2015,199970,53,High income: OECD
4252,United States,,5/5/15 0:00,6/29/15 0:00,56,38,600,,Heavy Rain,,,extreme,849464.57,7.978363292,-97.9863,34.1936,Americas,Northern America,19,21,2015,17419000,1,High income: OECD
4251,India,,5/17/15 0:00,5/21/15 0:00,5,8,200,,Heavy Rain,,,large,14179.41,4.850628165,79.1771,10.7121,Asia,Southern Asia,142,34,2015,2048517,9,Lower middle income
4250,Colombia,,5/1/15 0:00,5/21/15 0:00,21,58,200,,Heavy Rain,,,extreme,140968.57,6.772371585,-74.5048,5.70693,Americas,South America,19,5,2015,377740,32,Upper middle income
4249,China,,5/13/15 0:00,6/29/15 0:00,48,57,82000,,Heavy Rain,,,very large,247569.94,7.251030408,114.981,27.0326,Asia,Eastern Asia,142,30,2015,10354832,2,Upper middle income
4248,Kenya,,4/27/15 0:00,5/2/15 0:00,6,13,3000,,Heavy Rain,,,very large,20432.58,5.264565717,36.2471,-0.795186,Africa,Eastern Africa,2,14,2015,60937,75,Lower middle income
4247,Australia,,5/1/15 0:00,5/2/15 0:00,2,5,0,,Heavy Rain,,,extreme,192631.23,5.886786689,150.513,-25.9441,Oceania,Australia and New Zealand,9,53,2015,1454675,12,High income: OECD
4246,Brazil,,4/1/15 0:00,5/2/15 0:00,32,5,1000,,Heavy Rain,,,very large,450353.51,7.334794789,-67.7993,-6.97805,Americas,South America,19,5,2015,2346076,7,Upper middle income
4245,Pakistan,,4/26/15 0:00,4/28/15 0:00,3,44,4800,,Heavy Rain,,,very large,21148.15,4.978484896,71.8901,33.5131,Asia,Southern Asia,142,34,2015,243632,44,Lower middle income
4244,Australia,,4/20/15 0:00,4/28/15 0:00,9,4,1000,,Heavy Rain,,,extreme,175487.07,6.499517628,150.612,-33.3812,Oceania,Australia and New Zealand,9,53,2015,1454675,12,High income: OECD
4243,Haiti,,4/4/15 0:00,4/6/15 0:00,3,6,1000,,Heavy Rain,,,large,3672.34,4.042064138,-72.1912,18.685,Americas,Caribbean,19,29,2015,8713,142,Low income
4242,Kazahkstan,,3/23/15 0:00,4/15/15 0:00,24,0,5600,,Snow/Ice Melt,,,large,213897.13,6.710416199,65.5929,48.4049,,,,,2015,217872,48,Upper middle income
